"FACILITY_TYPE","CHANGE_TYPE"
"Collection: Interceptor Sewers","Process Improvement"
"Collection: Interceptor Sewers","Instrumentation/Electrical/Laboratory"
"Collection: Interceptor Sewers","Improve Water Efficiency"
"Collection: Interceptor Sewers","Renewable Energy"
"Collection: Pump Stations","Improve Energy Efficiency"
"Collection: Pump Stations","Climate Change Adaptation"
"Collection: Pump Stations","No Change"
"Collection: Pump Stations","New"
"Collection: Pump Stations","Increase Capacity"
"Collection: Pump Stations","Rehabilitation"
"Collection: Pump Stations","Replacement"
"Collection: Pump Stations","Abandonment"
"Collection: Pump Stations","Expansion"
"Collection: Pump Stations","Process Improvement"
"Collection: Pump Stations","Instrumentation/Electrical/Laboratory"
"Collection: Pump Stations","Improve Water Efficiency"
"Collection: Pump Stations","Renewable Energy"
"Collection: Separate Sewers","Climate Change Adaptation"
"Collection: Separate Sewers","No Change"
"Collection: Separate Sewers","New"
"Collection: Separate Sewers","Increase Capacity"
"Collection: Separate Sewers","Rehabilitation"
"Collection: Separate Sewers","Replacement"
"Collection: Separate Sewers","Abandonment"
"Collection: Separate Sewers","Expansion"
"Collection: Separate Sewers","Process Improvement"
"Collection: Separate Sewers","Instrumentation/Electrical/Laboratory"
"Collection: Separate Sewers","Improve Energy Efficiency"
"Collection: Separate Sewers","Improve Water Efficiency"
"Collection: Separate Sewers","Renewable Energy"
"Desalination - NPS","Abandonment"
"Desalination - NPS","Improve Energy Efficiency"
"Desalination - NPS","Climate Change Adaptation"
"Desalination - NPS","No Change"
"Desalination - NPS","New"
"Desalination - NPS","Increase Capacity"
"Desalination - NPS","Increase Level Of Treatment"
"Desalination - NPS","Rehabilitation"
"Desalination - NPS","Replacement"
"Desalination - NPS","Expansion"
"Desalination - NPS","Process Improvement"
"Desalination - NPS","Instrumentation/Electrical/Laboratory"
"Desalination - NPS","Improve Water Efficiency"
"Desalination - NPS","Renewable Energy"
"Desalination - WW","Abandonment"
"Desalination - WW","Improve Energy Efficiency"
"Desalination - WW","Climate Change Adaptation"
"Desalination - WW","No Change"
"Desalination - WW","New"
"Desalination - WW","Increase Capacity"
"Desalination - WW","Increase Level Of Treatment"
"Desalination - WW","Rehabilitation"
"Desalination - WW","Replacement"
"Desalination - WW","Expansion"
"Desalination - WW","Process Improvement"
